winner,control_sw_remaining,control_vp_remaining,test_sw_remaining,test_vp_remaining,duration_rounds,duration_phases,control_actions_taken,control_attacks_taken,control_parries_taken,control_attacks_succeeded,control_parries_succeeded,control_ap_remaining,control_ap_spent,control_ap_spent_wound_checks,control_damage_rolls_count,control_damage_rolls_sum,control_damage_rolls_sumsquares,control_keep_lw_total_count,control_keep_lw_total_sum,control_keep_lw_total_sumsquares,control_sw,control_take_sw_total_count,control_take_sw_total_sum,control_take_sw_total_sumsquares,control_vp_spent,control_vp_spent_attacks,control_vp_spent_wound_checks,control_wc_failed,control_wc_failed_lw_total_count,control_wc_failed_lw_total_sum,control_wc_failed_lw_total_sumsquares,control_wc_failed_margin_count,control_wc_failed_margin_sum,control_wc_failed_margin_sumsquares,control_wc_succeeded,control_wc_succeeded_margin_count,control_wc_succeeded_margin_sum,control_wc_succeeded_margin_sumsquares,control_keep_lw_total_count,test_actions_taken,test_attacks_taken,test_parries_taken,test_attacks_succeeded,test_parries_succeeded,test_ap_remaining,test_ap_spent,test_ap_spent_wound_checks,test_damage_rolls_count,test_damage_rolls_sum,test_damage_rolls_sumsquares,test_keep_lw_total_count,test_keep_lw_total_sum,test_keep_lw_total_sumsquares,test_sw,test_take_sw_total_count,test_take_sw_total_sum,test_take_sw_total_sumsquares,test_vp_spent,test_vp_spent_attacks,test_vp_spent_wound_checks,test_wc_failed,test_wc_failed_lw_total_count,test_wc_failed_lw_total_sum,test_wc_failed_lw_total_sumsquares,test_wc_failed_margin_count,test_wc_failed_margin_sum,test_wc_failed_margin_sumsquares,test_wc_succeeded,test_wc_succeeded_margin_count,test_wc_succeeded_margin_sum,test_wc_succeeded_margin_sumsquares
1,0,0,8,0,1,9,5,4,1,4,0,0,0,0,4,167,8241,0,0,0,0,0,0,0,3,3,0,2,2,163,13505,2,63,2165,0,0,0,0,0,3,3,0,3,0,0,0,0,2,163,13505,2,51,1313,11,0,0,0,2,2,0,2,2,116,6928,2,25,533,2,2,11,85
1,0,0,5,0,2,22,10,9,1,9,0,0,0,0,9,441,22463,2,52,1424,3,2,81,3701,3,3,0,1,1,72,5184,1,27,729,4,4,75,1549,2,8,8,0,6,0,0,0,0,5,205,10309,3,134,6052,11,2,86,3898,2,2,0,4,4,221,12513,4,29,261,5,5,46,906
1,0,0,5,0,3,27,12,11,1,11,0,0,0,0,11,536,28668,3,49,817,3,2,84,3816,3,3,0,1,1,46,2116,1,12,144,5,5,139,5611,3,10,10,0,7,0,0,0,0,6,179,6749,3,86,2538,11,0,0,0,2,2,0,8,8,450,26130,8,180,4326,3,3,17,115
1,0,0,7,0,2,22,10,9,1,9,0,0,0,0,9,406,19228,1,19,361,1,3,87,2741,3,2,1,1,1,61,3721,1,17,289,4,4,131,4947,1,8,8,0,6,0,0,0,0,5,167,6823,1,38,1444,11,1,33,1089,2,2,0,7,7,335,16695,7,76,948,2,2,11,85
1,0,1,7,0,2,14,6,5,1,5,0,0,0,0,5,239,12247,0,0,0,1,3,105,3699,2,2,0,2,2,104,5410,2,9,45,3,3,46,772,0,6,6,0,6,0,0,0,0,5,209,9109,0,0,0,11,0,0,0,2,2,0,5,5,239,12247,5,83,2447,0,0,0,0
1,0,0,4,0,2,22,10,10,0,10,0,0,0,0,10,387,15671,0,0,0,4,4,137,4795,3,2,1,1,1,62,3844,1,9,81,4,4,63,1471,0,8,8,0,6,0,0,0,0,5,199,8639,4,139,5187,11,0,0,0,2,2,0,6,6,248,10484,6,70,1032,4,4,43,661
1,0,1,5,0,3,27,13,11,2,11,0,0,0,0,11,439,18857,2,38,730,3,4,154,7158,1,0,1,0,0,0,0,0,0,0,6,6,142,4840,2,9,9,0,7,0,0,0,0,6,192,7888,5,172,6346,11,1,43,1849,2,1,1,5,5,224,10662,5,45,691,6,6,56,1192
-1,3,0,0,0,3,33,15,15,0,15,0,0,0,0,15,672,32886,2,41,853,8,2,37,697,2,1,1,1,1,68,4624,1,2,4,4,4,142,6606,2,11,10,1,5,0,0,0,0,5,146,6174,5,150,4780,8,0,0,0,2,1,1,10,10,522,28106,10,183,4237,5,5,57,899
1,0,0,5,0,2,17,10,8,2,8,0,0,0,0,8,321,14083,1,39,1521,3,1,27,729,3,2,1,2,2,147,10985,2,31,901,2,2,24,450,1,6,6,0,5,0,0,0,0,4,213,13235,4,127,4151,11,1,33,1089,2,2,0,3,3,161,8843,3,47,909,5,5,43,519
1,0,0,6,0,1,11,5,5,0,5,0,0,0,0,5,229,12487,0,0,0,2,2,68,2320,3,3,0,2,2,139,9685,2,43,1289,2,2,59,2753,0,4,4,0,4,0,0,0,0,4,207,12005,1,25,625,11,0,0,0,2,2,0,4,4,204,11862,4,79,3213,1,1,24,576
1,0,0,5,0,2,15,6,5,1,5,0,0,0,0,5,247,13071,0,0,0,3,3,105,3747,3,3,0,1,1,75,5625,1,23,529,3,3,63,1445,0,6,6,0,5,0,0,0,0,4,180,9372,1,48,2304,11,0,0,0,2,2,0,4,4,199,10767,4,82,3662,1,1,3,9
-1,1,0,0,0,3,27,14,14,0,14,0,0,0,0,14,569,24897,2,56,1586,8,3,108,4022,3,3,0,1,1,58,3364,1,6,36,5,5,98,2204,2,10,9,1,6,0,0,0,0,6,222,8972,4,127,4101,10,1,28,784,2,2,0,9,9,414,20012,9,156,3952,5,5,60,1450
1,0,0,5,0,3,29,13,12,1,12,0,0,0,0,12,370,12340,0,0,0,3,3,115,5125,3,2,1,2,2,89,3985,2,10,52,3,3,75,2379,0,11,10,1,6,0,0,0,0,5,204,9110,7,183,4969,11,2,63,2129,2,2,0,3,3,124,5242,3,20,294,9,9,100,1548
1,0,0,5,0,2,22,10,8,2,8,0,0,0,0,8,374,18922,4,79,1637,3,2,97,4817,3,2,1,1,1,53,2809,1,2,4,6,6,119,3659,4,8,8,0,8,0,0,0,0,7,229,9263,2,71,2533,11,2,91,4153,2,2,0,4,4,212,12236,4,69,2183,4,4,35,411
1,0,0,5,0,2,22,10,10,0,10,0,0,0,0,10,494,28702,2,48,1154,3,3,102,3986,3,3,0,1,1,45,2025,1,8,64,5,5,109,3335,2,8,8,0,7,0,0,0,0,6,195,7165,2,46,1058,11,1,33,1089,2,2,0,7,7,415,26555,7,175,6287,3,3,54,1646
1,0,0,5,0,2,22,10,8,2,8,0,0,0,0,8,301,12763,0,0,0,3,4,139,4899,3,3,0,1,1,48,2304,1,1,1,4,4,78,2300,0,8,8,0,6,0,0,0,0,5,187,7203,3,89,2907,11,1,33,1089,2,2,0,4,4,179,8767,4,33,389,4,4,50,884
1,0,0,5,0,2,22,10,9,1,9,0,0,0,0,9,345,14465,2,53,1409,3,3,83,2595,3,2,1,1,1,60,3600,1,3,9,5,5,115,3499,2,8,8,0,7,0,0,0,0,6,196,7604,4,121,3763,11,1,25,625,2,2,0,4,4,199,10077,4,73,1379,5,5,46,538
1,0,0,2,0,3,32,15,14,1,14,0,0,0,0,14,477,17711,2,47,1109,6,3,114,4598,3,2,1,1,1,44,1936,1,4,16,5,5,104,2358,2,10,10,0,7,0,0,0,0,6,205,7643,8,232,7276,11,1,33,1089,3,2,1,5,5,212,9346,5,45,589,9,9,122,2650
1,0,1,2,0,3,33,15,14,1,14,0,0,0,0,14,596,28738,2,44,1000,6,3,99,3581,2,2,0,1,1,55,3025,1,8,64,5,5,80,1624,2,11,11,0,7,0,0,0,0,6,198,7606,4,136,4878,11,1,38,1444,2,2,0,9,9,422,22416,9,126,3450,5,5,49,1059
1,0,1,6,0,2,19,10,9,1,9,0,0,0,0,9,351,15393,1,25,625,2,1,27,729,2,2,0,2,2,135,9593,2,37,797,2,2,37,797,1,7,7,0,5,0,0,0,0,4,187,10947,4,116,3478,11,1,23,529,2,2,0,4,4,212,11386,4,62,1004,5,5,65,1091
-1,2,0,0,0,3,28,14,14,0,14,0,0,0,0,14,573,24539,1,16,256,8,4,142,5914,3,2,1,0,0,0,0,0,0,0,5,5,115,3469,1,9,9,0,5,0,0,0,0,5,158,6170,5,175,6355,9,3,121,5193,2,2,0,6,6,277,12991,6,76,1232,8,8,50,420
1,0,0,3,0,3,33,15,14,1,14,0,0,0,0,14,527,22071,2,40,808,5,4,159,6727,3,3,0,0,0,0,0,0,0,0,6,6,104,2454,2,12,12,0,7,0,0,0,0,6,199,7535,5,141,4363,11,3,106,4268,2,2,0,6,6,280,13440,6,63,1469,8,8,79,957
1,0,0,4,0,2,22,10,9,1,9,0,0,0,0,9,331,13753,2,27,365,4,4,201,10783,2,1,1,0,0,0,0,0,0,0,6,6,160,6514,2,8,8,0,7,0,0,0,0,6,228,11148,4,111,3403,11,1,28,784,2,2,0,4,4,192,9566,4,79,1917,5,5,70,1104
1,0,0,5,0,3,27,13,12,1,12,0,0,0,0,12,520,26090,2,41,841,3,4,168,7880,3,2,1,0,0,0,0,0,0,0,6,6,165,6287,2,10,10,0,7,0,0,0,0,6,209,8721,4,99,2627,11,1,33,1089,2,2,0,7,7,388,22374,7,152,4510,5,5,54,868
1,0,0,2,0,3,33,15,14,1,14,0,0,0,0,14,498,19854,1,30,900,6,1,59,3481,3,1,2,3,3,151,7713,3,23,285,2,2,31,505,1,12,12,0,6,0,0,0,0,5,240,12094,7,223,8039,11,3,99,3417,2,2,0,4,4,176,8398,4,40,730,10,10,153,3121
1,0,1,4,0,2,17,10,9,1,9,0,0,0,0,9,436,22918,1,12,144,4,2,85,3613,2,2,0,1,1,71,5041,1,32,1024,3,3,70,2866,1,6,6,0,5,0,0,0,0,4,168,8798,1,28,784,11,1,40,1600,2,2,0,7,7,368,20534,7,131,3845,2,2,29,445
-1,6,1,-2,0,4,35,16,16,0,16,0,0,0,0,16,723,37019,1,24,576,10,2,81,3425,2,2,0,0,0,0,0,0,0,0,3,3,59,1725,1,12,12,0,3,0,0,0,0,3,105,4001,4,107,2931,5,0,0,0,2,2,0,12,12,616,34088,12,256,7334,4,4,32,410
1,0,0,3,0,3,26,14,12,2,12,0,0,0,0,12,433,17219,2,48,1224,5,4,141,5453,3,3,0,0,0,0,0,0,0,0,6,6,107,2383,2,9,9,0,7,0,0,0,0,6,189,6677,5,152,4746,11,2,51,1313,2,1,1,5,5,230,11160,5,72,1924,7,7,126,3570
1,0,1,1,0,3,32,15,14,1,14,0,0,0,0,14,635,33165,0,0,0,7,3,98,3214,2,2,0,1,1,47,2209,1,21,441,3,3,58,2356,0,10,9,1,5,0,0,0,0,4,145,5423,5,157,5101,11,0,0,0,2,2,0,9,9,478,28064,9,180,5122,5,5,85,1491
1,0,1,6,0,3,27,11,10,1,10,0,0,0,0,10,427,20091,1,20,400,2,3,119,4755,2,1,1,1,1,61,3721,1,14,196,4,4,66,1638,1,9,9,0,6,0,0,0,0,5,200,8876,3,94,3412,11,1,48,2304,2,2,0,6,6,285,14375,6,81,1291,4,4,96,3194
1,0,0,5,0,3,33,15,14,1,14,0,0,0,0,14,542,23466,2,45,1017,3,4,144,5262,3,3,0,0,0,0,0,0,0,0,6,6,117,2775,2,12,11,1,7,0,0,0,0,6,189,6279,6,179,5727,11,1,28,784,2,1,1,7,7,335,16955,7,97,1547,7,7,85,1801
1,0,0,5,0,2,18,10,9,1,9,0,0,0,0,9,386,18738,1,21,441,3,2,91,4165,3,3,0,2,2,99,4901,2,21,245,3,3,55,1251,1,7,7,0,6,0,0,0,0,5,211,9507,3,79,2147,11,0,0,0,2,1,1,6,6,307,16591,6,103,2691,3,3,23,201
1,-2,1,7,0,1,11,4,4,0,4,0,0,0,0,4,242,14966,1,16,256,1,1,51,2601,2,2,0,2,2,132,8714,2,50,1252,2,2,71,2701,1,4,4,0,4,0,0,0,0,4,199,11571,0,0,0,13,1,48,2304,2,2,0,3,3,194,12662,3,68,1574,1,1,7,49
1,0,0,5,0,3,29,13,12,1,12,0,0,0,0,12,439,17767,2,45,1037,3,2,81,3281,3,3,0,1,1,54,2916,1,10,100,4,4,82,1806,2,8,7,1,6,0,0,0,0,5,180,7234,5,155,5035,11,1,23,529,2,2,0,6,6,261,12203,6,90,2078,6,6,45,693
1,0,0,8,1,2,20,10,9,1,9,0,0,0,0,9,349,14717,1,36,1296,0,1,39,1521,3,3,0,1,1,99,9801,1,56,3136,2,2,39,873,1,7,7,0,4,0,0,0,0,3,174,12618,3,79,2197,11,0,0,0,1,1,0,6,6,270,12520,6,62,896,3,3,65,1489
1,0,0,6,0,2,16,7,5,2,5,0,0,0,0,5,235,14715,1,51,2601,2,2,57,1685,3,3,0,1,1,74,5476,1,30,900,3,3,33,425,1,6,6,0,5,0,0,0,0,4,182,9762,2,51,1413,11,0,0,0,2,2,0,3,3,184,13302,3,81,3851,2,2,20,200
